YEAR,prRPCO,prRPCOnom,prPPCO,prEPCOmkt,crYECOto,prVCCO,DOMDEF,e_prPPCO,Y262_EMktRct,prENCOmkt,prENSRmkt,prENWHmkt,prENCTmkt,prENSB,crAPCOpri,crAPCOto,e_crAPCOto,crAHCOto,e_crAHCOto,Fert_PPI,e_crYLCOto,crYLCOto,crPRCOto,crIMCOto,e_crIMCOto,crSYCOto,crESCOto,crEXCOto,lsPRHGjpn,Hog_PrdEU6,Hog_PrdUK,SDR_exch,e_crEXCOto,crDMCOOT,POP,prPPWH,All_CPI,RealDispInc,Crn_SeedRate,e_crDMCOFD,crDMCOFD,crDMCOFE,crDMCOto,GCAU,prCPSM,LivestockP,prPPSR,prPPBA,prPPOC,e_crDMCOFE,e_crESCOto
1981,315.9668202,151.6358691,122.4352575,122.4352575,,333.8133246,47.99107355,,,481.2210756,234.4662438,183.8640758,382.0169615,412.7736442,,34032.98459,,29526,,144,,5.711847186,168648,22,,,35361,60737,1396,7184,972,,,,229.465714,146.607363,81.4357559,9.16835752,13.27,,16745,107501,124246,126.5880183,259.1863915,1.305457119,114.4198818,128.1436538,118.4984325,,
1982,233.799594,119.1657195,98.420625,98.420625,6.557988885,329.958496,50.96917298,,645.4413648,339.452271,153.1076083,164.3145841,85.45919026,305.8872537,,33126.48512,,30159,,144,,6.837859345,206223,14,,241598,64433,50720,1427,7135,977,1.1104,,2184.50147,231.664458,135.584253,86.44916907,9.314590685,13.27,,18629,107816,126445,126.0901267,216.7363953,1.348677455,88.4053422,113.90547,129.5215425,,
1983,237.5843095,125.8740781,100.3890375,100.3890375,6.665804637,317.0349363,52.98080435,,669.1737116,380.2872547,170.3097877,147.6333817,183.718498,289.9397352,,24365.00592,,29428,,137,,7.108230257,209181,12,,273626,89491,46264,1429,7303,1037,1.0767,,3556.165184,233.791994,126.765765,89.2299465,9.724126081,13.27,,21705,116166,137871,128.9316074,221.4983704,1.306919538,97.2238302,100.1265825,102.6527119,,
1984,274.1915472,150.4253128,126.3720825,126.3720825,6.773620388,328.1299235,54.86139684,,855.9965145,567.9578158,210.3055451,159.532191,228.9353324,455.1334175,,32584.20419,,20833,,143,,5.089569433,106031,43,,195565,25561,47917,1424,7454,955,1.0353,,4064.188782,235.824902,128.970387,93.03238646,10.37314167,13.28,,23625,98462,122087,128.2946452,224.0006158,1.398905034,107.8060158,113.4461738,111.6089888,,
1985,217.9082899,123.3707829,103.5384975,103.5384975,6.88143614,338.0388097,56.61591991,,712.4935585,411.1178571,157.709292,161.5076466,129.4799841,316.7033158,,33750.10819,,29096,,135,,6.697862249,194881,44,,220486,41866,46999,1531,7493,995,1.0073,,5893.073733,237.923795,124.561143,96.33899255,10.66770939,13.27,,27108,104513,131621,128.7006309,150.3552171,1.258227754,91.491813,105.1788413,115.0537106,,
1986,179.0888129,103.4378172,87.7911975,87.7911975,6.989251891,297.5383997,57.75783285,,613.5947932,350.3788225,121.4679654,150.7685208,177.1754202,277.8324172,,30990.95045,,30436,,124,,7.407247996,225447,251,,267564,102609,31176,1552,7716,1022,1.1569,,6883.719749,240.132887,113.170596,98.19033782,11.07669577,14.24,,29274,104505,133779,128.4983844,183.2040868,1.319248573,76.059459,90.9406575,84.74015813,,
1987,127.1601225,75.31955223,59.052375,59.052375,7.097067643,290.075847,59.23205383,,419.0986998,154.2860782,45.42603865,99.4819706,18.65127914,256.2584349,,26790.29668,,27886,,118,,7.492792082,208944,45,,311598,124001,37911,1581,7894,1025,1.2666,,7366.342167,242.288918,88.919754,101.777541,11.26507246,14.24,,31330,118356,149686,129.8198323,195.4507632,1.333601925,54.013239,73.94669625,83.36226938,,
1988,158.419038,97.12002408,76.374405,76.374405,7.204883395,302.9499859,61.30577822,,550.2686824,282.8069991,85.49015012,109.0560943,177.1094182,340.5844785,,27404.20725,,24081,,130,,7.522237449,181143,87,,305231,108186,43599,1578,8151,1048,1.3517,,7089.469306,244.498982,94.431309,105.9172802,11.7417349,14.24,,31794,121652,153446,132.3522452,263.8381397,1.369258153,67.0205088,83.13262125,107.4753225,,
1989,187.3878028,119.3465035,99.995355,99.995355,7.312699146,329.6866812,63.68957944,,731.2359471,451.698584,122.266641,194.9971602,67.10007019,428.5914421,,29267.79209,,23573,,136,,5.310906546,125194,71,,233451,49035,51525,1594,8267,981,1.2912,,7300.299099,246.81923,136.686564,111.0298569,11.9979417,14.24,,32965,99926,132891,131.3781313,278.2232957,1.457354079,89.287191,128.60295,179.8144819,,
1990,173.8163463,114.798853,92.90907,92.90907,7.420514898,331.6388059,66.04606268,,689.4331381,407.8138145,98.82265272,198.367844,144.4210253,296.1306559,,30014.0354,,26217,,129.340507,,7.297555022,191320,48,,240403,34151,60132,1555,8198,975,1.3329,,8163.939215,250.181,136.686564,117.023236,12.13239821,14.24,,34800,111320,146120,130.2983499,205.5589557,1.562190515,82.673325,111.1496925,102.6527119,,
1991,158.8900815,108.4311087,89.75961,89.75961,7.528330649,340.7075371,68.24284289,,675.740023,386.6643735,89.9996241,102.8302011,205.3196476,297.3624622,,30738.83028,,27095,,137.3409507,,7.438051301,201534,87,,235772,38641,43858,1483,8361.96,984.75,1.3629,,8867.551898,253.53,95.901057,121.9791171,12.16179794,14.24,,36201,117072,153273,132.0349135,199.9371692,1.4653157,83.5551738,98.2893975,78.53965875,,
1992,159.1919024,111.1144676,93.3027525,93.3027525,7.636146401,344.7600492,69.79907015,,712.4734777,424.8219714,98.40105324,137.1224057,83.26266306,287.2495594,,32096.15136,,27851,,133.3407288,,6.817277656,189868,499,,229008,27949,40233,1420,8529.1992,994.5975,1.4092386,,10117.28995,256.922,110.2311,125.6736376,12.57919843,14.24,,38953,121873,160826,133.5375404,208.5682641,1.401909146,88.4053422,96.4522125,83.36226938,,
1993,139.8274284,99.92088101,81.4922775,81.4922775,7.743962153,343.3268437,71.46014353,,631.0731127,340.6291791,47.59253337,159.1451411,26.50559317,290.8669262,,29638.89031,,29169,,128.0070997,,8.252562652,240719,180,,268848,53672,42249,1483.6805,8699.783184,1004.543475,1.303545705,,10808.20204,260.282,119.049588,129.3831148,12.69550515,14.24,,39518,133409,172927,134.9412511,213.5727559,1.455765372,74.5162236,93.696435,90.9406575,,
1994,157.334035,114.8245494,98.420625,98.420625,7.851777904,363.4411413,72.9813796,,772.7768887,476.8311657,92.32894818,147.9416,73.45302749,360.5434168,,31938.32332,,25468,,140.0077653,,6.321108842,160986,529,,215187,21595,33741,1542.452645,8873.778848,1014.58891,1.329616619,,11641.36074,263.455,119.784462,132.7566762,13.03331911,14.24,,40977,118874,159851,139.3682208,212.5916992,1.340499482,91.0508886,91.39995375,93.696435,,
1995,149.4838702,111.3711121,88.972245,88.972245,7.959593656,390.7461767,74.50376546,,708.1829168,381.7315594,81.92074774,154.0902043,205.7468494,285.8737811,,28926.64073,,29345,,161.4533947,,8.699778497,255295,243,,277133,39571,55311,1596.996709,9051.254425,1024.734799,1.431997099,,13533.74864,266.588,126.765765,136.4810613,13.34451632,14.24,,43569,138682,182251,142.9861256,179.1806528,1.310520765,83.775636,93.23713875,84.05121375,,
1996,227.1563264,172.3309438,127.55313,127.55313,8.067409407,395.1693454,75.8644703,,1029.023321,610.8944159,333.8585168,268.770786,483.6920664,416.0927003,,32062.967,,26390,,166.453672,,7.122773778,187970,419,,227960,10819,56589,1647.898682,9232.279513,1034.982147,1.380445203,,10051.24688,269.714,167.183835,140.4816168,13.68340246,14.24,,41356,119196,160552,142.4319837,260.0572112,1.402355927,125.4429918,132.7366163,115.0537106,,
1997,160.4039888,123.7716967,106.6879575,106.6879575,8.175225159,398.7276486,77.16248056,,872.1980743,453.7331545,193.6365931,247.0569379,399.2257899,483.83873,,32187.61068,,29398,,161.4533947,,7.977345398,234518,337,,245674,22433,45655,1695.66334,9416.925103,1045.331968,1.238259347,,10889.48582,272.958,157.99791,143.7656332,14.10210288,14.24,,43544,134042,177586,142.9779588,298.6160503,1.395429811,91.9327374,125.8471725,135.0330975,,
1998,144.6371395,112.8162544,95.6648475,95.6648475,8.283040911,388.6704998,77.99950609,,792.3958455,385.5490261,183.6836129,190.2687758,503.4710432,410.1283184,,32441.75428,,29409,,149.7860809,,7.9521235,233864,224,,256521,33220,38214,1740.725499,9605.263605,1055.785288,1.193682011,,12388.15543,276.154,124.193706,145.9972924,14.99914032,14.24,,46639,138448,185087,147.3580067,204.2361821,1.256502996,87.082569,109.3125075,110.2311,,
1999,119.4515159,94.50219591,76.374405,76.374405,8.390856662,387.2125839,79.1134338,,640.846685,280.6864416,110.5159784,150.4360549,411.6777387,333.7847612,,31317.12838,,29376,,139.7855263,,8.438248911,247882,478,,281580,45391,50401,1783.459713,9797.368878,1066.343141,1.219943015,,13152.73094,279.328,97.370805,149.191715,15.38265798,14.24,,47291,138497,185788,147.6758778,152.725189,1.238249161,65.4772734,90.9406575,75.78388125,,
2000,110.6270432,89.50950935,71.650215,71.650215,8.498672414,404.8064167,80.91105641,,608.9317057,284.5394669,145.6723889,154.8316515,235.9851426,334.1888598,,32193.2763,,28525,,146.8970407,,8.397861525,239549,375,,285315,43628,49191,1824.188622,9993.316255,1077.006572,1.22604273,,14371.98758,282.398,91.124376,154.229736,16.01453092,14.24,,49163,143333,192496,149.0873746,184.7583467,1.338601498,61.729416,97.83010125,77.16177,,
2001,108.7667385,90.02060804,72.8312625,72.8312625,8.606488165,401.841164,82.7648317,,626.8213988,292.7377976,97.15765756,127.2977857,186.9152025,338.1833826,,30635.63503,,29316,,163.7868575,,8.591008323,251854,173,,295655,48240,49313,1863.190152,10193.18258,1087.776638,1.230946901,,16002.74333,285.225,96.268494,158.5885202,16.3147378,14.24,,50215,147887,198102,149.8411814,191.3722127,1.39644346,74.2957614,96.91150875,75.78388125,,
2002,111.9622703,94.08932679,77.5554525,77.5554525,8.714303917,364.157744,84.03663709,,675.8417835,365.7053026,193.1368432,219.1868767,208.5077501,361.1184415,,31927.39677,,27830,,143.4523963,,8.673266259,241377,258,,289875,40551,48383,1900.703709,10397.04623,1098.654404,1.233408795,,17958.63418,287.955,102.147486,161.10382,16.77867105,14.24,,52376,148565,200941,150.4015649,184.8796009,1.251752028,76.2799212,101.9637675,109.5421556,,
2003,126.5936675,108.5110459,91.33434,91.33434,8.822119669,403.9662618,85.71601405,,805.7624773,419.4325288,204.1773354,194.4288055,205.6188318,355.8292699,,31809.63278,,28057,,165.2313909,,8.118009766,227767,367,,268685,27603,40334,1936.935518,10604.98716,1109.640948,1.234642204,,25299.57517,290.626,130.807572,164.7609894,17.18935872,14.24,,59814,140934,200748,147.8287736,200.1576314,1.486458969,91.2713508,124.92858,124.6989319,,
2004,133.9629895,117.9754308,95.271165,95.271165,8.92993542,439.4257422,88.06568986,,850.7653509,390.3795452,186.6663525,178.4694342,288.7004665,535.1599678,,32750.93534,,28710,,186.7881332,,8.924730059,256229,358,,284190,24337,48258,1972.063224,10817.0869,1120.737358,1.235876846,,29668.57811,293.262,124.92858,169.1720326,17.76013197,14.24,,64745,146850,211595,149.8433594,282.2467316,1.639225548,93.9168972,129.9808388,101.9637675,,
2005,108.9075035,98.98636107,81.098595,81.098595,9.037751172,457.9585716,90.89030407,,732.948922,287.9679997,113.3597974,157.7224346,126.7969365,361.8678815,,33094.91952,,29798,,218.5676824,,10.06362843,299876,275,,324488,53697,46181,2006.23985,11033.42864,1131.944731,1.235876846,,33605.76099,295.993,124.92858,174.9116196,17.93772768,14.24,,68772,155838,224610,151.0251606,201.6016588,1.615474602,70.3274418,113.90547,101.9637675,,
2006,114.1990345,106.9866667,78.7365,78.7365,9.145566923,502.6350459,93.68438811,,720.0899301,269.5435427,102.8482191,150.5682228,133.8845628,354.8391017,85.4960929,31697.93909,,30399,,234.2352181,,9.285272542,282263,224,,336184,49968,54201,2039.59721,11254.09721,1143.264179,1.235876846,,40718.09136,298.818,125.663454,180.5541751,18.55296547,14.24,,76685,155330,232015,153.2809184,191.9895069,1.542767087,73.4139126,116.2019513,112.2979331,,
2007,162.710784,156.4800359,119.67948,119.67948,9.253382675,559.2219519,96.17066062,,1107.440027,520.0920989,278.0774896,223.2354863,-48.02950074,409.4596734,2149.874213,37849.18546,,28586,,287.5715096,,9.357832505,267503,304,,317775,33114,53987,2072.24885,11479.17915,1154.696821,1.235876846,,53825.10018,301.696,156.528162,185.7048027,18.88325557,14.24,,89948,140726,230674,155.3901133,226.4587718,1.728204199,129.6317736,130.8994313,128.8325981,,
2008,223.5212835,219.1611366,165.34665,165.34665,9.361198427,731.1571886,98.04933704,,1547.8428,777.0037693,355.6791525,382.3201987,0.103743289,753.5642657,2206.027443,34795.82007,,35014,,522.473418,,9.458416633,331177,509,,364800,41255,61913,2104.292581,11708.76274,1166.243789,1.235876846,,77448.19747,304.543,238.099176,192.834225,19.02868124,14.24,,112839,148793,261632,159.1683622,370.3103573,1.811470421,160.4964816,184.6370925,181.1923706,,
2009,175.4015743,173.3037864,159.835095,159.835095,9.469014178,733.8753369,98.80400848,,1513.480781,735.5438971,236.9813881,417.4989212,-29.46357953,738.4883326,1931.663579,34957.69498,,31796,,367.1314689,,9.621052963,305911,344,,347510,42504,46965,2135.812655,11942.93799,1177.906227,1.235876846,,94212.97619,307.24,249.122286,192.1485597,19.00643638,14.24,,127646,130395,258041,155.7096599,365.0523339,1.607706395,126.1043784,246.6420863,217.0174781,,
2010,163.4465416,163.4465416,139.7572875,139.7572875,9.57682993,714.3540899,100,,1338.431774,593.2269046,237.0270115,222.7395979,40.35707212,713.4402026,863.0210244,35690.17892,,32169,,336.4631013,,10.31803911,331921,212,,374637,43380,50270,2166.881648,12181.79675,1189.685289,1.235876846,,116616.8169,309.808,178.941819,195.3,19.20455261,14.24,,151416,129571,280987,153.556218,343.116345,1.83439492,126.765765,214.0320525,139.1667638,,
2011,273.4670974,279.2099065,203.927535,203.927535,9.684645681,827.9974002,102.1,,1974.965921,1260.611831,425.7563868,369.6945111,386.1464934,871.8934816,6388.934452,37205.32803,,32960,,437.9131814,,9.575788835,315618,703,,359701,28644,46508,2197.562078,12425.43269,1201.582142,1.235876846,,127488.5218,312.172,209.43909,201.4653407,19.55034665,14.24,,163215,121334,284549,154.7842431,380.8704967,2.000218781,197.5341312,177.2883525,173.6139825,,
2012,274.7269672,285.5451657,244.870515,244.870515,9.792461433,870.8205915,103.9378,,2397.885074,1569.862964,531.6799032,501.1137646,530.9227798,1071.198162,7982.293913,39372.42831,,33945,,443.7468382,,9.214582413,312789,746,,342179,25122,39096,2227.907798,12673.94134,1213.597963,1.235876846,,127005.8994,314.499,266.024388,205.6343423,20.09956097,14.24,,163185,114776,277961,156.0248672,433.7924478,2.106117439,235.894554,245.7234938,240.4415869,,
2013,283.6216427,299.5067373,271.2472425,271.2472425,9.900277185,886.9565084,105.6008048,,2685.422886,2102.754417,712.6408725,594.6032828,39.0298898,819.9216369,15174.95632,38593.00064,,35356,,423.2679158,,7.726892182,273192,4063,,302377,20859,18545,2257.965196,12927.42017,1225.733943,1.235876846,,117886.8758,316.839,285.498549,208.646192,20.00313106,14.24,,153366,109607,262973,154.6431755,516.0028022,0.88360551,249.122286,295.3274888,267.9993619,,
2014,190.2447992,204.1144396,175.582395,175.582395,10.00809294,889.4769732,107.2904177,9.025012269,1757.244927,867.7679539,310.7361298,456.7792273,230.1343104,974.110412,1534.972632,36664.66585,29748.23385,35390,-433.6441038,414.8896777,-2.420118419,9.925741735,351272,909,-288.0812772,373040,31292,48783,2287.774234,13185.96857,1237.991282,1.235876846,61916.03014,130409.6575,319.173,252.429219,212.0313901,20.32724553,14.24,-20464.86447,164942,128023,292965,195.0722865,540.0662513,2.650232278,168.4331208,278.3335275,258.3541406,-33392.89426,-93414.38445
2015,158.1809989,171.7963287,145.662525,145.662525,10.11590869,840.0974105,108.607437,5.476720807,1473.508802,633.4113917,299.4437913,385.4986932,-16.01926113,691.4288543,1157.321497,35774.35387,31700.21007,33629.51139,-459.1316998,390.1114368,-1.697019875,10.73768718,361103.1732,812.8377563,213.6314783,393208.011,43969.44238,47347.79931,2317.369332,13449.68794,1250.371195,1.235876846,48892.89149,132314.746,321.507,220.094763,212.3421145,21.18413179,14.24,-22885.95717,166834.9495,135055.8198,301890.7693,199.2075242,406.1905804,2.708274561,158.6540475,243.4270125,221.1511444,-28295.67894,-87362.19967
2016,153.8408374,169.6836931,143.6941125,143.6941125,10.22372444,847.3436727,110.2982121,5.232218949,1469.08901,621.7453371,229.2593573,275.0192945,-64.31892108,565.3109251,2134.286131,36624.19712,34902.86308,32658.26196,-656.2473374,394.9900274,-1.918984281,10.61990716,346827.7101,762.0353965,-28.83377176,391559.1879,44706.0766,45722.12379,2346.780141,13718.6817,1262.874907,1.235876846,45642.6307,131451.1059,323.8508972,183.7185,215.6762512,21.78618066,14.24,-23731.43456,166504.7341,134626.2534,301130.9875,204.2024533,352.73952,2.51486127,141.7257,238.83405,151.5677625,-27781.57582,-81092.53734
2017,149.2709504,167.4421237,141.7257,141.7257,10.33154019,859.9003071,112.1732817,5.092927033,1464.244766,604.3444585,191.9330937,205.046747,-94.39143527,540.5931748,2263.011513,36523.0253,34458.93441,33467.63648,-693.1805133,400.6488346,-2.096965703,10.54978593,353076.4004,762.0353965,20.8776821,398544.5124,44579.0707,48262.24178,2376.032204,13993.05534,1275.503656,1.235876846,46542.31186,132086.1354,326.1958176,161.67228,219.9897762,22.31728409,14.24,-25001.31841,167266.7695,138436.4304,305703.1999,206.442476,347.227965,2.405078874,133.85205,220.4622,144.6783188,-21146.05106,-83896.17646
2018,148.5820834,169.7695383,143.6941125,143.6941125,10.43935594,864.8407146,114.2597644,5.162169234,1500.073987,635.2332726,196.4461239,217.6080371,-73.61368709,564.2056885,2401.575348,36523.0253,34146.5167,33386.69903,-734.4990826,405.3701764,-2.076498627,10.67807151,356505.5597,762.0353965,-21.1676499,401846.6658,43944.0412,48897.27128,2405.14752,14272.91644,1288.258693,1.235876846,46926.13152,132721.1649,328.5411108,165.34665,224.6095615,22.83315066,14.24,-26406.22836,168028.8049,140976.5484,309005.3533,209.0827861,351.637209,2.315746714,135.8204625,213.5727563,144.6783188,-20372.64685,-85725.71255
2019,147.707799,172.1459947,145.662525,145.662525,10.54717169,872.0336764,116.5449596,5.191393305,1536.327661,664.2939842,192.5665849,229.757418,-54.31355548,587.4720182,2531.652694,36523.0253,34003.66976,33386.69903,-789.2470975,412.2144227,-2.059768118,10.80360637,360696.7544,762.0353965,-20.8776821,405402.831,44198.053,50167.33027,2434.145044,14558.37477,1301.14128,1.235876846,47928.35581,132086.1354,330.8841417,169.02102,229.5509719,23.32466662,14.24,-27779.49072,167520.7813,143516.6663,311037.4477,211.6997155,357.148764,2.264025236,135.8204625,215.8692375,148.1230406,-19300.28835,-86971.0215
2020,144.8680559,172.2131456,145.662525,145.662525,10.65498745,881.8854568,118.8758588,5.136598213,1552.032375,670.1469184,187.8221806,235.3583283,-26.64538482,598.458283,2507.842261,36421.85349,33835.59905,33386.69903,-843.9951125,421.3889049,-2.050477056,10.92153306,364633.9372,762.0353965,-2.84E-14,409594.0256,44579.0707,51437.38927,2463.0411,14849.54227,1314.152692,1.235876846,48210.8379,132086.1354,333.2198886,170.858205,234.8306442,23.77066739,14.24,-29236.6663,167520.7813,146056.7843,313577.5657,214.1360762,359.353386,2.217159111,135.8204625,215.8692375,148.1230406,-18619.20808,-88164.87695
2021,142.0577739,172.2498467,145.662525,145.662525,10.7628032,891.4001867,121.253376,5.106650065,1567.73709,676.3369031,183.2013285,241.1641075,1.30217714,615.292895,2447.128389,36219.50986,33630.86165,33265.29285,-925.1757817,429.5665584,-2.034656089,11.04538802,367428.067,762.0353965,7.11E-15,412769.1731,45087.0943,52707.44826,2491.84975,15146.53311,1327.294219,1.235876846,48475.92696,130816.0764,335.5461939,172.69539,240.231749,24.21215585,14.24,-30563.23363,166377.7282,148596.9023,314974.6306,216.294175,363.76263,2.187317116,135.8204625,215.8692375,148.1230406,-18037.08619,-88774.50527
2022,139.2424886,172.2129426,145.662525,145.662525,10.87061895,902.8038815,123.6784435,5.136763804,1583.441804,680.637923,178.0368466,246.4931179,17.82577189,631.8830035,2372.043166,36017.16623,33473.07676,33062.94922,-991.8654095,440.0744479,-2.02141585,11.16676395,369206.1496,762.0353965,4.26E-14,415055.2793,45341.10609,53342.47776,2520.58311,15449.46377,1340.567162,1.235876846,48088.20838,130181.0469,337.8601785,174.532575,245.7570792,24.66184397,14.24,-31908.53139,165869.7046,150501.9908,316371.6955,218.1649632,367.069563,2.152652518,135.8204625,215.8692375,148.1230406,-17884.06037,-89231.72651
2023,136.5007751,172.1984748,145.662525,145.662525,10.9784347,912.1434391,126.1520124,5.148569591,1599.146519,687.0030799,173.4654154,252.4990902,35.89494877,637.1885194,2394.123519,35814.8226,33276.00716,32860.60559,-1057.948411,448.2521015,-2.002677284,11.29349966,371111.2381,762.0353965,-3.91E-14,417214.3796,45468.11199,54612.53675,2549.31647,15752.39444,1353.840104,1.235876846,48335.5193,128910.9879,340.1605845,176.36976,251.4094921,25.11988409,14.24,-33272.66093,164726.6516,152407.0793,317133.7309,219.8529155,367.069563,2.141372484,135.8204625,215.8692375,148.1230406,-17523.08516,-89866.756
2024,133.7960506,172.1621385,145.662525,145.662525,11.08625045,921.4047388,128.6750526,5.178219988,1614.851234,693.4464949,168.9186945,258.6036516,54.29224915,642.505674,2416.706296,35612.47897,33049.65782,32658.26196,-1123.424786,456.429755,-1.9864453,11.41791689,372889.3207,762.0353965,-3.69E-14,419119.4681,45341.10609,55247.56625,2578.04983,16055.3251,1367.113046,1.235876846,47947.80072,128275.9584,342.4468129,178.206945,257.1919104,25.5864313,14.24,-34655.7738,164218.628,154312.1678,318530.7958,221.4286804,367.069563,2.138950558,135.8204625,215.8692375,148.1230406,-17269.36791,-90704.99494
2025,132.9358106,174.4763287,147.6309375,147.6309375,11.1940662,931.4142706,131.2485537,5.258253242,1652.590488,721.1762175,171.9985193,264.562416,72.48007271,659.8640423,2576.193591,35612.47897,32934.44992,32455.91833,-1188.294536,465.6042372,-1.976508117,11.53605908,374413.3915,762.0353965,-20.59555126,420516.533,44071.0471,56517.62524,2606.78319,16358.25576,1380.385988,1.235876846,48897.84488,127640.9289,344.716208,180.04413,263.1073243,26.06164361,14.24,-36022.73128,163710.6044,156217.2563,319927.8606,223.6132775,370.376496,2.139265155,137.788875,218.1657187,151.5677625,-17255.52281,-92407.52513
2026,130.3704981,174.531581,147.6309375,147.6309375,11.30188196,941.4237776,133.8735248,5.213167384,1668.507429,727.083651,167.2046941,270.6082546,91.07121363,671.2747659,2551.676443,35612.47897,32866.4314,32455.91833,-1241.677642,474.7787194,-1.959835082,11.66128089,378477.5803,762.0353965,-3.84E-13,423310.6628,44198.053,57787.68424,2635.51655,16661.18642,1393.65893,1.235876846,49145.1558,127005.8994,346.9667464,181.881315,269.1587928,26.50255418,14.24,-37376.55622,163202.5808,158122.3448,321324.9255,225.8194276,371.478807,2.139579708,137.788875,218.1657187,151.5677625,-17336.4884,-93906.19474
